sorensen,unique1,unique2,comp,type
0.027644312,0.985971071,0.062207358,System,Snook
0.010250622,0.99484581,0.085257549,System,Snook
0.020675811,0.989545223,0.075221239,System,Snook
0.062483934,0.9671287,0.36970278,System,Snook
0.023722213,0.987974904,0.13024602,System,Snook
0.019102767,0.990354385,0.022312373,System,Snook
0.030056856,0.984643667,0.296194406,System,Snook
0.050474648,0.974012403,0.125841184,System,Snook
0.033815024,0.982746318,0.157303371,System,Snook
0.034112449,0.982515556,0.303585657,System,Snook
0.052987531,0.972637422,0.165599268,System,Snook
0.032887642,0.983205839,0.211737089,System,Snook
0.074166949,0.961162898,0.178722504,System,Snook
0.026829276,0.986358905,0.191943128,System,Snook
0.043197227,0.97780802,0.192209683,System,Snook
0.044611689,0.976496135,0.562383613,System,Snook
0.044513912,0.977118472,0.184604419,System,Snook
0.024969355,0.987345597,0.069168506,System,Snook
0.040185786,0.978997179,0.536219081,System,Snook
0.075515842,0.960478727,0.153747323,System,Snook
0.031931185,0.9837374,0.125806452,System,Snook
0.02004138,0.989861772,0.135665529,System,Snook
0.026548931,0.986492977,0.229011993,System,Snook
0.029663005,0.984846885,0.301199262,System,Snook
0.01130724,0.99430513,0.219478738,System,Snook
0.014332053,0.992769402,0.197558269,System,Snook
0.019938169,0.98992247,0.073597056,System,Snook
0.021720047,0.988927285,0.434627171,System,Snook
0.047290601,0.975676697,0.151726543,System,Snook
0.028421058,0.985572361,0.055664702,System,Snook
0.039768705,0.979229999,0.533677593,System,Snook
0.056849122,0.970534626,0.19530183,System,Snook
0.015168783,0.992347861,0.143337066,System,Snook
0.05067338,0.9738188,0.214521452,System,Snook
0.070181164,0.96330375,0.198032787,System,Snook
0.110850775,0.940369449,0.214050349,System,Snook
0.043574713,0.977424173,0.376174682,System,Snook
0.07791546,0.959118465,0.172134467,System,Snook
0.028915067,0.985272552,0.211146838,System,Snook
0.015185051,0.992342571,0.104215457,System,Snook
0.074939021,0.959545323,0.492216922,System,Snook
0.019035729,0.990381827,0.087369421,System,Snook
0.039856904,0.97950607,0.277758195,System,Snook
0.038574882,0.979995283,0.462076385,System,Snook
0.04057851,0.979185547,0.195904173,System,Snook
0.038353905,0.980372603,0.16439523,System,Snook
0.021797846,0.988959493,0.150115473,System,Snook
0.035994654,0.981519614,0.31147541,System,Snook
0.043403549,0.977734936,0.142196532,System,Snook
0.021162931,0.989262884,0.270068027,System,Snook
0.02709432,0.986216931,0.208500862,System,Snook
0.025770787,0.986884637,0.265134529,System,Snook
0.019415761,0.990175769,0.180300501,System,Snook
0.063854463,0.966049511,0.464257535,System,Snook
0.059516729,0.969148251,0.160315732,System,Snook
0.036748549,0.98121758,0.154434939,System,Snook
0.072483231,0.961485401,0.385903365,System,Snook
0.033412704,0.982437317,0.657365854,System,Snook
0.032178576,0.983574987,0.212847555,System,Snook
0.025503882,0.987054271,0.148123766,System,Snook
0.010927194,0.994503803,0.07885906,System,Snook
0.035106843,0.981954584,0.356174161,System,Snook
0.02897579,0.985229731,0.242175475,System,Snook
0.090079888,0.952309423,0.189634664,System,Snook
0.008935983,0.995509622,0.103792415,System,Snook
0.068873411,0.963893502,0.255363036,System,Snook
0.065709753,0.965686206,0.227252252,System,Snook
0.046384023,0.976104649,0.21207124,System,Snook
0.021324379,0.989128156,0.447100712,System,Snook
0.042301337,0.978268059,0.209243086,System,Snook
0.042416896,0.978274356,0.109105824,System,Snook
0.018320321,0.990677571,0.473743648,System,Snook
0.021207235,0.989266123,0.126221498,System,Snook
0.023737809,0.987965221,0.138869005,System,Snook
0.094863674,0.947368541,0.519886882,System,Snook
0.021597801,0.989046518,0.234800839,System,Snook
0.014357254,0.992764258,0.090566038,System,Snook
0.043910886,0.977204105,0.404494382,System,Snook
0.045339048,0.976644563,0.228099174,System,Snook
0.038056577,0.98058282,0.049926579,System,Snook
0.036080935,0.981464166,0.324954463,System,Snook
0.018437962,0.99067317,0.202737382,System,Snook
0.011362024,0.994281895,0.124233129,System,Snook
0.014287059,0.992803921,0.021768707,System,Snook
0.041493907,0.978687416,0.218268525,System,Snook
0.037768739,0.980704978,0.112695492,System,Snook
0.020232494,0.9897772,0.029439696,System,Snook
0.018713398,0.990527528,0.234438157,System,Snook
0.05228021,0.973051654,0.128437399,System,Snook
0.010121029,0.99490983,0.131399317,System,Snook
0.02045729,0.989636496,0.213960546,System,Snook
0.033553742,0.982859051,0.210138249,System,Snook
0.032888319,0.983228574,0.157286432,System,Snook
0.064717006,0.966166441,0.257788504,System,Snook
0.08538032,0.95394645,0.415460777,System,Snook
0.01757583,0.991122194,0.132093933,System,Snook
0.015153879,0.99236162,0.058024691,System,Snook
0.054627811,0.971559087,0.310712555,System,Snook
0.030035023,0.984647237,0.312275986,System,Snook
0.02803303,0.985776978,0.034623218,System,Snook
0.124873399,0.919918624,0.716627463,System,Tarpon
0.083224153,0.948557244,0.782249031,System,Tarpon
0.046256836,0.975351872,0.62488099,System,Tarpon
0.045454356,0.97643122,0.363532764,System,Tarpon
0.015883086,0.991952109,0.399022801,System,Tarpon
0.005486548,0.997201914,0.859958506,System,Tarpon
0.031244347,0.98369907,0.624819625,System,Tarpon
0.043213551,0.977420121,0.498636364,System,Tarpon
0.047189977,0.975375653,0.435559737,System,Tarpon
0.013138962,0.99338006,0.138121547,System,Tarpon
0.037255446,0.980099626,0.708719259,System,Tarpon
0.06686858,0.963635871,0.585025381,System,Tarpon
0.018261457,0.990736434,0.363259669,System,Tarpon
0.039349759,0.979621571,0.430113977,System,Tarpon
0.016187301,0.991636262,0.749365482,System,Tarpon
0.088255747,0.949790984,0.635657757,System,Tarpon
0.039319397,0.979594003,0.462446352,System,Tarpon
0.004726887,0.997628805,0.277027027,System,Tarpon
0.005048674,0.997462854,0.5,System,Tarpon
0.050578006,0.973013245,0.598016529,System,Tarpon
0.047504868,0.97507731,0.494149415,System,Tarpon
0.00537273,0.997300976,0.427230047,System,Tarpon
0.002569438,0.998713436,0.104477612,System,Tarpon
0.007015201,0.996477865,0.15,System,Tarpon
0.004689835,0.997649165,0.068376068,System,Tarpon
0.108994316,0.934630515,0.672337744,System,Tarpon
0.041828569,0.978226759,0.46985447,System,Tarpon
0.048159901,0.974837562,0.440261044,System,Tarpon
0.153067587,0.899068212,0.683388211,System,Tarpon
0.035766741,0.98154985,0.417849899,System,Tarpon
0.124526789,0.911353359,0.790797515,System,Tarpon
0.015739861,0.991954365,0.639631336,System,Tarpon
0.032315189,0.983300381,0.502188868,System,Tarpon
0.023714301,0.987674509,0.687951138,System,Tarpon
0.038381326,0.980110395,0.45389649,System,Tarpon
0.017143948,0.991321262,0.303191489,System,Tarpon
0.105246954,0.939175417,0.609711044,System,Tarpon
0.152771433,0.895609018,0.715268544,System,Tarpon
0.006232984,0.996858197,0.613157895,System,Tarpon
0.00453618,0.997667711,0.917602996,System,Tarpon
0.059495263,0.967260359,0.6744907,System,Tarpon
0.076636267,0.958678014,0.472883232,System,Tarpon
0.079837396,0.955989421,0.570651036,System,Tarpon
0.009896864,0.995018665,0.25083612,System,Tarpon
0.061615433,0.966847968,0.564334086,System,Tarpon
0.006107947,0.996936671,0,System,Tarpon
0.003949709,0.998020803,0.1,System,Tarpon
0.096047767,0.944657212,0.636861564,System,Tarpon
0.014502816,0.992674835,0.279826464,System,Tarpon
0.032282291,0.983117623,0.63236715,System,Tarpon
0.088447148,0.950311719,0.597893646,System,Tarpon
0.128120975,0.918230123,0.704212384,System,Tarpon
0.035937131,0.981113356,0.630351844,System,Tarpon
2.40E-04,0.999869905,0.998469587,System,Tarpon
0.097149428,0.945062818,0.580578182,System,Tarpon
0.016254146,0.991788442,0.210084034,System,Tarpon
0.015122737,0.992353693,0.319311663,System,Tarpon
0.103987813,0.941120696,0.555382942,System,Tarpon
0.003752871,0.998117705,0.397163121,System,Tarpon
