rep,ref_vol,res_vol,sorensen,randOV
1,97.04629427,19.99553437,0.302894184,0.666639245
2,90.34850924,22.47791052,0.337454675,0.609190376
3,103.286743,20.93060726,0.320664467,0.641566936
4,95.0600704,26.98896167,0.415876786,0.606190634
5,99.17145173,19.8268599,0.299124776,0.519912522
6,92.14645672,20.29124977,0.329004831,0.586699393
7,95.25315548,23.2918905,0.33929294,0.532762889
8,97.8521218,21.07911109,0.304154291,0.62088947
9,104.0205006,16.16439037,0.257409739,0.512656245
10,91.49950431,21.30810162,0.321524491,0.50337255
11,106.7549181,14.84388459,0.240695576,0.591926037
12,105.5324707,16.21207011,0.248689697,0.622551192
13,93.35511428,20.59137096,0.307273809,0.619065078
14,92.53557896,23.3143111,0.375637232,0.601654056
15,85.51141861,25.42476573,0.420024889,0.66832923
16,106.6290318,19.70615865,0.288690802,0.588977826
17,98.62503913,19.41188935,0.314820329,0.673296042
18,100.2540124,17.7600327,0.293896423,0.640387466
19,100.5253742,23.08954934,0.356631379,0.637048636
20,88.07536265,25.99612562,0.378858626,0.529590426
21,91.83501044,21.47653307,0.35638878,0.670095633
22,84.28315429,20.16343729,0.354902516,0.640889432
23,105.3142807,18.83663289,0.277159062,0.581978515
24,89.17982845,22.58878643,0.357654657,0.663920478
25,95.47677629,18.50902809,0.30780812,0.682454818
26,94.64601557,23.19490651,0.34361931,0.662294409
27,90.33736635,27.86576948,0.414720408,0.608364066
28,92.54524986,21.6416678,0.343248042,0.577709017
29,100.8326568,21.72114787,0.335627686,0.617768122
30,98.75614029,27.91833004,0.406486081,0.643204621
31,99.19453442,21.62094925,0.332777461,0.639029954
32,94.63838131,22.15721054,0.351184483,0.621454332
33,105.1116664,20.32887422,0.293152044,0.615563276
34,102.9174192,18.47675027,0.279835224,0.617404909
35,108.8775424,21.11842523,0.309354282,0.667852184
36,99.41009845,20.35986251,0.317860829,0.636404334
37,108.2747993,19.78067069,0.300163309,0.662890177
38,91.16568753,24.138327,0.403420816,0.700626931
39,90.8897134,20.83527145,0.339322442,0.606971298
40,106.206679,15.67663943,0.250069434,0.616121504
41,88.19852065,23.77107471,0.381181171,0.594716828
42,105.8941051,19.30492041,0.264493567,0.631861748
43,104.8555974,19.61475147,0.30033877,0.57642885
44,107.6404217,16.66266281,0.255129025,0.619648136
45,104.0921189,20.82145698,0.293435665,0.628382446
46,93.58670007,20.7800914,0.316346738,0.59258923
47,NA,NA,NA,NA
48,NA,NA,NA,NA
49,NA,NA,NA,NA
50,NA,NA,NA,NA
